"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen"
"Bebouwde kom Zevenhuizen";"BU00220100";"575";"174";"93";"7";".";".";"68";"32";".";".";"0"
"De Haspel";"BU00220101";"89";"260";"100";"0";".";".";"94";"6";".";".";"0"
"Drostinnewijk";"BU00220102";"69";"303";"100";"0";".";".";"87";"10";".";".";"3"
"Boerenstreek";"BU00220103";"39";".";"100";"0";".";".";"85";"15";".";".";"0"
"Buitengebied ten noorden van Zevenhuizen";"BU00220107";"40";".";"100";"0";".";".";"90";"10";".";".";"0"
"Buitengebied ten oosten van Zevenhuizen";"BU00220108";"52";"291";"100";"0";".";".";"90";"10";".";".";"0"
"Buitengebied ten westen van Zevenhuizen";"BU00220109";"259";"291";"100";"0";".";".";"92";"8";".";".";"0"
"Wijk 02 Tolbert";"WK002202";"1948";"172";"81";"19";".";".";"66";"34";".";".";"0"
"Bebouwde kom Tolbert";"BU00220200";"774";"183";"80";"20";".";".";"69";"31";".";".";"0"
"Sint Maheerdt";"BU00220201";"998";"149";"79";"21";".";".";"61";"39";".";".";"0"
"Buitengebied Tolbert";"BU00220209";"176";"281";"100";"0";".";".";"85";"14";".";".";"1"
"Wijk 04 Midwolde";"WK002204";"159";"296";"99";"1";".";".";"91";"9";".";".";"0"
"Bebouwde kom Midwolde";"BU00220400";"39";".";"100";"0";".";".";"90";"10";".";".";"0"
"Pasop";"BU00220401";"40";".";"100";"0";".";".";"100";"0";".";".";"0"
"Buitengebied Midwolde";"BU00220409";"80";"295";"99";"1";".";".";"88";"13";".";".";"0"
"Wijk 05 Lettelbert";"WK002205";"65";"279";"97";"3";".";".";"89";"11";".";".";"0"
"Bebouwde kom Lettelbert";"BU00220500";"36";".";"100";"0";".";".";"94";"6";".";".";"0"
"Buitengebied Lettelbert";"BU00220509";"29";".";"93";"7";".";".";"83";"17";".";".";"0"
"Wijk 06 Oostwold";"WK002206";"250";"191";"100";"0";".";".";"77";"23";".";".";"0"
"Bebouwde kom Oostwold";"BU00220600";"215";"183";"100";"0";".";".";"74";"26";".";".";"0"
"Buitengebied-Oostwold";"BU00220609";"35";".";"100";"0";".";".";"94";"6";".";".";"0"
"Wijk 07 Enumatil";"WK002207";"126";"172";"98";"2";".";".";"87";"13";".";".";"0"
"Bebouwde kom Enumatil";"BU00220700";"99";"166";"98";"2";".";".";"84";"16";".";".";"0"
"Buitengebied Enumatil";"BU00220709";"27";".";"100";"0";".";".";"96";"4";".";".";"0"
"Loppersum";"GM0024";"4621";"153";"92";"8";".";".";"65";"35";".";".";"0"
"Wijk 00";"WK002400";"1710";"158";"88";"12";".";".";"61";"39";".";".";"0"
"Loppersum";"BU00240000";"1153";"152";"82";"18";".";".";"55";"45";".";".";"0"
"Garrelsweer";"BU00240001";"229";"152";"99";"1";".";".";"66";"34";".";".";"0"
"Wirdum";"BU00240002";"144";"167";"100";"0";".";".";"67";"33";".";".";"0"
"Wirdumerdraai";"BU00240003";"58";"185";"98";"2";".";".";"91";"9";".";".";"0"
"Winneweer (gedeeltelijk)";"BU00240005";"1";".";".";".";".";".";".";".";".";".";"."
"Verspr.h. Eemskanaal en Damsterdiep";"BU00240008";"44";".";"100";"0";".";".";"89";"11";".";".";"0"
"Verspr.h. ten N. van het Damsterdiep";"BU00240009";"81";"227";"100";"0";".";".";"90";"10";".";".";"0"
"Wijk 01 Stedum";"WK002401";"732";"152";"98";"2";".";".";"77";"23";".";".";"0"
"Stedum";"BU00240100";"388";"134";"97";"3";".";".";"71";"29";".";".";"0"
"Westeremden";"BU00240101";"156";"176";"99";"1";".";".";"80";"19";".";".";"1"
"Garsthuizen (gedeeltelijk)";"BU00240102";"92";"157";"100";"0";".";".";"78";"22";".";".";"0"
"Verspr.h. Stedum inclusief Startenhuizen";"BU00240109";"96";"197";"99";"1";".";".";"91";"9";".";".";"0"
"Wijk 02 Middelstum";"WK002402";"1222";"150";"88";"12";".";".";"57";"43";".";".";"0"
"Middelstum";"BU00240200";"991";"140";"86";"14";".";".";"50";"50";".";".";"0"
"Westerwijtwerd";"BU00240201";"38";".";"100";"0";".";".";"92";"8";".";".";"0"
"Huizinge";"BU00240202";"54";".";"100";"0";".";".";"93";"7";".";".";"0"
"Toornwerd";"BU00240203";"29";".";"100";"0";".";".";"90";"10";".";".";"0"
"Verspreide huizen Middelstum";"BU00240209";"110";"213";"100";"0";".";".";"87";"13";".";".";"0"
"Wijk 03 't Zandt";"WK002403";"957";"151";"99";"1";".";".";"73";"27";".";".";"0"
"'t Zandt";"BU00240300";"326";"130";"99";"1";".";".";"65";"34";".";".";"0"
"Zeerijp";"BU00240301";"183";"156";"98";"2";".";".";"70";"29";".";".";"1"
"Zijldijk";"BU00240302";"90";"126";"100";"0";".";".";"67";"33";".";".";"0"
"Leermens";"BU00240303";"91";"168";"100";"0";".";".";"74";"26";".";".";"0"
"Oosterwijtwerd";"BU00240304";"77";"162";"100";"0";".";".";"73";"27";".";".";"0"
"Eenum";"BU00240305";"44";".";"100";"0";".";".";"91";"9";".";".";"0"
"Verspreide huizen 't Zandt";"BU00240309";"146";"200";"99";"1";".";".";"92";"8";".";".";"0"
"Marum";"GM0025";"4241";"215";"93";"7";".";".";"71";"29";".";".";"0"
"Wijk 00 Marum";"WK002500";"3289";"212";"92";"8";".";".";"70";"30";".";".";"0"
"Marum";"BU00250000";"2202";"193";"89";"11";".";".";"63";"37";".";".";"0"
"Nuis";"BU00250002";"262";"231";"99";"1";".";".";"81";"19";".";".";"0"
"Niebert";"BU00250003";"202";"259";"99";"1";".";".";"83";"17";".";".";"0"
"Boerakker";"BU00250004";"142";"208";"100";"0";".";".";"82";"18";".";".";"0"
"Lucaswolde";"BU00250005";"70";"306";"100";"0";".";".";"94";"6";".";".";"0"
"Noordwijk";"BU00250006";"97";"198";"91";"9";".";".";"71";"29";".";".";"0"
"De Haar";"BU00250007";"63";".";"100";"0";".";".";"95";"5";".";".";"0"
"Verspreide huizen in het noordwesten";"BU00250008";"84";"318";"98";"2";".";".";"89";"11";".";".";"0"
"Verspreide huizen in het noordoosten";"BU00250009";"167";"308";"100";"0";".";".";"90";"10";".";".";"0"
"Wijk 01 De Wilp";"WK002501";"952";"225";"98";"2";".";".";"76";"24";".";".";"0"
"De Wilp (gedeeltelijk)";"BU00250100";"580";"183";"97";"3";".";".";"68";"32";".";".";"0"
"Wilpstervaart";"BU00250101";"31";".";"97";"3";".";".";"94";"6";".";".";"0"
"Keuningswijk";"BU00250102";"87";"303";"99";"1";".";".";"92";"8";".";".";"0"
"Jonkersvaart";"BU00250104";"83";"276";"100";"0";".";".";"94";"6";".";".";"0"
"Verspr.h. ten noorden van Jonkersvaart";"BU00250108";"87";"314";"100";"0";".";".";"90";"10";".";".";"0"
"Verspr.h. ten noorden van de Wilp";"BU00250109";"84";"310";"100";"0";".";".";"80";"20";".";".";"0"
"Almere";"GM0034";"78330";"182";"75";"25";".";".";"62";"37";".";".";"0"
"Wijk 01 Almere-Haven";"WK003401";"10040";"181";"67";"33";".";".";"52";"48";".";".";"0"
"Centrum Almere-Haven";"BU00340101";"938";"167";"3";"97";".";".";"27";"73";".";".";"0"
"De Werven";"BU00340102";"1275";"138";"67";"33";".";".";"40";"60";".";".";"0"
"De Hoven";"BU00340103";"1129";"148";"49";"51";".";".";"42";"58";".";".";"0"
"De Meenten";"BU00340104";"1026";"161";"66";"34";".";".";"58";"42";".";".";"0"
"De Grienden";"BU00340105";"987";"175";"98";"2";".";".";"58";"42";".";".";"0"
"De Marken";"BU00340106";"1183";"164";"89";"11";".";".";"61";"39";".";".";"0"
"De Gouwen";"BU00340107";"1149";"186";"90";"10";".";".";"78";"22";".";".";"0"
"De Wierden";"BU00340108";"1598";"143";"60";"40";".";".";"32";"68";".";".";"0"
"De Velden";"BU00340109";"590";"358";"85";"15";".";".";"95";"5";".";".";"0"
"Overgooi";"BU00340110";"151";"882";"88";"12";".";".";"97";"3";".";".";"0"
"De Steiger";"BU00340171";"13";".";".";".";".";".";".";".";".";".";"."
"Stichtsekant";"BU00340173";"0";".";".";".";".";".";".";".";".";".";"."
"Verspreide Huizen Almere-Haven";"BU00340199";"1";".";".";".";".";".";".";".";".";".";"."
"Wijk 02 Almere-Stad";"WK003402";"42604";"180";"75";"25";".";".";"63";"37";".";".";"0"
"Centrum Almere-Stad";"BU00340201";"2301";"152";"0";"100";".";".";"32";"68";".";".";"0"
"Filmwijk";"BU00340202";"4253";"190";"71";"29";".";".";"63";"37";".";".";"0"
"Danswijk";"BU00340203";"2122";"164";"83";"17";".";".";"71";"29";".";".";"0"
"Parkwijk";"BU00340204";"2153";"199";"81";"19";".";".";"58";"42";".";".";"0"
"Verzetswijk";"BU00340205";"1374";"196";"81";"19";".";".";"69";"31";".";".";"0"
"Waterwijk";"BU00340206";"3092";"154";"89";"11";".";".";"75";"25";".";".";"0"
"Staatsliedenwijk";"BU00340209";"1165";"123";"21";"79";".";".";"25";"75";".";".";"0"
"Kruidenwijk";"BU00340210";"3292";"154";"88";"12";".";".";"61";"39";".";".";"0"
"Stedenwijk";"BU00340211";"4182";"143";"72";"28";".";".";"48";"52";".";".";"0"
"Literatuurwijk";"BU00340214";"3440";"213";"86";"14";".";".";"72";"27";".";".";"1"
"Noorderplassen";"BU00340215";"2253";"295";"88";"12";".";".";"80";"20";".";".";"0"
"Tussen de Vaarten";"BU00340220";"5835";"192";"81";"19";".";".";"68";"31";".";".";"1"
"Muziekwijk";"BU00340221";"7128";"174";"80";"20";".";".";"68";"32";".";".";"0"
"Randstad";"BU00340271";"3";".";".";".";".";".";".";".";".";".";"."
"Markerkant";"BU00340272";"3";".";".";".";".";".";".";".";".";".";"."
"Hollandsekant";"BU00340273";"0";".";".";".";".";".";".";".";".";".";"."
"Gooisekant";"BU00340274";"0";".";".";".";".";".";".";".";".";".";"."
"Veluwsekant";"BU00340275";"0";".";".";".";".";".";".";".";".";".";"."
"Sallandsekant";"BU00340276";"0";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Stad";"BU00340299";"8";".";".";".";".";".";".";".";".";".";"."
"Wijk 03 Almere-Buiten";"WK003403";"21457";"178";"81";"19";".";".";"66";"34";".";".";"0"
"Centrum Almere-Buiten";"BU00340301";"915";"134";"20";"80";".";".";"19";"80";".";".";"0"
"Oostvaardersbuurt";"BU00340302";"1972";"202";"90";"10";".";".";"71";"29";".";".";"0"
"Seizoenenbuurt";"BU00340303";"1929";"191";"91";"9";".";".";"71";"29";".";".";"0"
"Molenbuurt";"BU00340304";"1622";"139";"82";"18";".";".";"55";"45";".";".";"0"
"Bouwmeesterbuurt";"BU00340305";"1849";"149";"85";"15";".";".";"61";"39";".";".";"0"
"Landgoederenbuurt";"BU00340306";"1536";"173";"81";"19";".";".";"67";"33";".";".";"0"
"Faunabuurt";"BU00340307";"1639";"178";"89";"11";".";".";"71";"29";".";".";"0"
"Bloemenbuurt";"BU00340308";"2266";"157";"86";"14";".";".";"60";"40";".";".";"0"
"Regenboogbuurt";"BU00340309";"2078";"170";"83";"17";".";".";"69";"31";".";".";"0"
"Indischebuurt";"BU00340310";"624";"154";"36";"64";".";".";"40";"55";".";".";"5"
"Eilandenbuurt";"BU00340311";"2191";"201";"85";"15";".";".";"74";"26";".";".";"0"
"Stripheldenbuurt";"BU00340312";"2340";"209";"83";"17";".";".";"79";"21";".";".";"0"
"Sieradenbuurt";"BU00340313";"387";"268";"86";"14";".";".";"97";"3";".";".";"0"
"Poldervlak";"BU00340371";"11";".";".";".";".";".";".";".";".";".";"."
"De Vaart";"BU00340372";"7";".";".";".";".";".";".";".";".";".";"."
"Buitenvaart";"BU00340373";"74";"229";"100";"0";".";".";"74";"26";".";".";"0"
"Verspreide huizen Almere-Buiten";"BU00340399";"17";".";".";".";".";".";".";".";".";".";"."
"Wijk 04 Almere-Poort";"WK003404";"3645";"192";"55";"45";".";".";"61";"39";".";".";"0"
"Columbuskwartier";"BU00340402";"804";"208";"75";"25";".";".";"54";"46";".";".";"0"
"Homeruskwartier";"BU00340403";"1718";"191";"63";"37";".";".";"72";"28";".";".";"0"
"Almeerderzand";"BU00340405";"81";"481";"2";"98";".";".";"89";"11";".";".";"0"
"Europakwartier Oost";"BU00340420";"0";".";".";".";".";".";".";".";".";".";"."
"Europakwartier West";"BU00340421";"1042";"163";"29";"71";".";".";"45";"54";".";".";"0"
"Olympiakwartier Oost";"BU00340422";"0";".";".";".";".";".";".";".";".";".";"."
"Olympiakwartier West";"BU00340423";"0";".";".";".";".";".";".";".";".";".";"."
"Hogekant";"BU00340471";"0";".";".";".";".";".";".";".";".";".";"."
"Middenkant";"BU00340472";"0";".";".";".";".";".";".";".";".";".";"."
"Lagekant";"BU00340473";"0";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Poort";"BU00340499";"0";".";".";".";".";".";".";".";".";".";"."
"Wijk 05 Almere-Hout";"WK003405";"583";"449";"94";"6";".";".";"90";"10";".";".";"0"
"Vogelhorst";"BU00340502";"481";"467";"99";"1";".";".";"96";"4";".";".";"0"
"Nobelhorst";"BU00340503";"32";".";"3";"97";".";".";"3";"97";".";".";"0"
"Twentsekant";"BU00340571";"0";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Hout";"BU00340599";"70";"481";"100";"0";".";".";"90";"9";".";".";"1"
"Wijk 06 Almere-Pampus";"WK003406";"1";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Pampus";"BU00340699";"1";".";".";".";".";".";".";".";".";".";"."
"Stadskanaal";"GM0037";"15304";"146";"78";"22";".";".";"58";"40";".";".";"2"
"Wijk 01 Stadskanaal";"WK003701";"9469";"143";"72";"28";".";".";"53";"44";".";".";"3"
"Stadskanaal Centrum";"BU00370100";"932";"149";"19";"81";".";".";"46";"51";".";".";"4"
"Maarsstee";"BU00370101";"684";"105";"52";"48";".";".";"10";"90";".";".";"0"
"Maarswold";"BU00370102";"1249";"113";"57";"43";".";".";"24";"67";".";".";"9"
"Maarsveld";"BU00370103";"1333";"119";"81";"19";".";".";"55";"45";".";".";"0"
"De Hagen";"BU00370104";"613";"125";"83";"17";".";".";"59";"41";".";".";"0"
"Vogelwijk en de Borgen";"BU00370105";"1100";"176";"93";"7";".";".";"74";"26";".";".";"0"
"Industriegebied";"BU00370106";"154";"163";"90";"10";".";".";"82";"16";".";".";"3"
"Dideldom";"BU00370107";"143";"147";"94";"6";".";".";"90";"10";".";".";"1"
"Parkwijk";"BU00370108";"1393";"138";"71";"29";".";".";"48";"46";".";".";"7"
"Noord Landskant";"BU00370109";"392";"164";"96";"4";".";".";"87";"13";".";".";"0"
"Centrum-Noord";"BU00370110";"840";"154";"88";"12";".";".";"60";"40";".";".";"0"
"Noord";"BU00370111";"325";"165";"96";"4";".";".";"90";"10";".";".";"1"
"Waterland";"BU00370112";"311";"263";"96";"4";".";".";"95";"5";".";".";"0"
"Wijk 02 Musselkanaal";"WK003702";"3440";"137";"82";"18";".";".";"58";"39";".";".";"3"
"Musselkanaal Centrum";"BU00370200";"1818";"124";"76";"24";".";".";"47";"48";".";".";"5"
"Zuid";"BU00370201";"657";"160";"77";"23";".";".";"64";"36";".";".";"0"
"Noord";"BU00370202";"574";"162";"94";"6";".";".";"84";"16";".";".";"0"
"Ceresdorp";"BU00370203";"391";"123";"99";"1";".";".";"61";"39";".";".";"0"
"Wijk 03 Onstwedde";"WK003703";"1282";"174";"92";"8";".";".";"72";"27";".";".";"1"
"Onstwedde";"BU00370300";"894";"156";"89";"11";".";".";"64";"35";".";".";"1"
"Holte";"BU00370301";"50";".";"100";"0";".";".";"88";"12";".";".";"0"
"Buitengebied-Noord";"BU00370308";"112";"224";"100";"0";".";".";"90";"8";".";".";"2"
"Buitengebied-Zuid";"BU00370309";"226";"225";"99";"1";".";".";"88";"10";".";".";"2"
"Wijk 04 Mussel";"WK003704";"607";"187";"97";"3";".";".";"83";"17";".";".";"0"
"Mussel";"BU00370400";"384";"175";"95";"5";".";".";"78";"22";".";".";"0"
"Kopstukken";"BU00370401";"57";"214";"100";"0";".";".";"89";"11";".";".";"0"
"Vledderveen";"BU00370402";"118";"204";"100";"0";".";".";"92";"8";".";".";"0"
"Verspreide huizen Mussel";"BU00370409";"48";".";"98";"2";".";".";"94";"6";".";".";"0"
"Wijk 05 Alteveer";"WK003705";"506";"170";"99";"1";".";".";"79";"21";".";".";"0"
"Alteveer";"BU00370500";"403";"161";"99";"1";".";".";"76";"24";".";".";"0"
"Verspreide huizen Alteveer";"BU00370509";"103";"214";"100";"0";".";".";"94";"6";".";".";"0"
"Slochteren";"GM0040";"6670";"185";"93";"7";".";".";"71";"29";".";".";"0"
"Wijk 00 Slochteren-Kolham";"WK004000";"1976";"164";"97";"3";".";".";"69";"31";".";".";"0"
"Slochteren";"BU00400000";"924";"152";"94";"6";".";".";"60";"40";".";".";"0"
"Kolham";"BU00400001";"393";"165";"98";"2";".";".";"63";"37";".";".";"0"
"'s-Gravenschans en Ruiten";"BU00400002";"38";".";"95";"5";".";".";"92";"8";".";".";"0"
"Rengerslaan";"BU00400003";"77";"160";"100";"0";".";".";"94";"6";".";".";"0"
"Knijpslaan";"BU00400004";"110";"150";"100";"0";".";".";"88";"12";".";".";"0"
"Froombosch";"BU00400006";"320";"179";"99";"1";".";".";"78";"22";".";".";"0"
"Verspr.h. ten oosten van Slochteren";"BU00400007";"51";".";"100";"0";".";".";"94";"6";".";".";"0"
"Verspreide huizen ten zuiden van Kolham";"BU00400008";"12";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in de Hooilandspolder";"BU00400009";"51";".";"100";"0";".";".";"84";"16";".";".";"0"
"Wijk 01 Schildwolde-Hellum";"WK004001";"916";"189";"94";"6";".";".";"76";"24";".";".";"0"
"Schildwolde";"BU00400100";"607";"184";"92";"8";".";".";"72";"28";".";".";"0"
"Hellum";"BU00400101";"212";"198";"99";"1";".";".";"82";"18";".";".";"0"
"Meenteweg";"BU00400102";"63";"195";"100";"0";".";".";"94";"6";".";".";"0"
"Verspr.h. ten noorden van Het Siep";"BU00400108";"15";".";".";".";".";".";".";".";".";".";"."
"Verspreide huizen in De Zanden";"BU00400109";"19";".";".";".";".";".";".";".";".";".";"."
"Wijk 02 Siddeburen";"WK004002";"1691";"168";"90";"10";".";".";"71";"29";".";".";"0"
"Siddeburen";"BU00400200";"1283";"157";"87";"13";".";".";"65";"35";".";".";"0"
"Oudeweg en Hoofdweg en Oostwolderweg";"BU00400201";"52";".";"100";"0";".";".";"98";"2";".";".";"0"
"Steendam";"BU00400203";"81";"230";"100";"0";".";".";"80";"20";".";".";"0"
"Tjuchem";"BU00400204";"68";"169";"100";"0";".";".";"76";"22";".";".";"1"
"Verspr.h. in het Siddebuursterveen";"BU00400208";"52";".";"100";"0";".";".";"94";"6";".";".";"0"
"Verspr.h. ten noorden van Siddeburen";"BU00400209";"155";"225";"99";"1";".";".";"93";"6";".";".";"1"
"Wijk 03 Harkstede";"WK004003";"1840";"221";"88";"12";".";".";"68";"31";".";".";"0"
"Harkstede";"BU00400300";"981";"212";"86";"14";".";".";"68";"32";".";".";"0"
"Scharmer";"BU00400301";"478";"254";"84";"16";".";".";"62";"38";".";".";"0"
"Hamweg";"BU00400302";"77";"213";"100";"0";".";".";"88";"12";".";".";"0"
"Borgweg (gedeeltelijk)";"BU00400304";"63";"228";"100";"0";".";".";"87";"13";".";".";"0"
"Verspreide huizen ten oosten van Hamweg";"BU00400308";"52";".";"96";"4";".";".";"73";"27";".";".";"0"
"Verspreide huizen in het Westen";"BU00400309";"189";"235";"100";"0";".";".";"74";"25";".";".";"1"
"Wijk 04 Overschild";"WK004004";"247";"193";"100";"0";".";".";"90";"9";".";".";"0"
"Overschild";"BU00400400";"116";"176";"100";"0";".";".";"88";"11";".";".";"1"
"Verspreide huizen Overschild";"BU00400409";"131";"225";"100";"0";".";".";"92";"8";".";".";"0"
"Veendam";"GM0047";"12720";"142";"79";"21";".";".";"64";"35";".";".";"1"
"Wijk 00 Veendam-kern";"WK004700";"9432";"132";"75";"25";".";".";"60";"39";".";".";"1"
"Veendam-Centrum";"BU00470000";"1467";"130";"57";"43";".";".";"57";"42";".";".";"0"
"Veendam-Oude Ae";"BU00470001";"1612";"114";"74";"26";".";".";"50";"50";".";".";"0"
"Veendam-Middenweg en omgeving";"BU00470002";"359";"142";"99";"1";".";".";"73";"27";".";".";"0"
"Veendam en omgeving station";"BU00470003";"874";"129";"66";"34";".";".";"62";"38";".";".";"0"
"Veendam-Zuid";"BU00470004";"655";"124";"40";"60";".";".";"41";"58";".";".";"0"
"Veendam-Sorghvliet";"BU00470005";"3664";"128";"83";"17";".";".";"62";"36";".";".";"2"
"Veendam-industriegebied";"BU00470006";"49";".";"86";"14";".";".";"33";"67";".";".";"0"
"Buitenwoel";"BU00470007";"752";"201";"98";"2";".";".";"89";"11";".";".";"0"
"Wijk 01 Veendam-buitengebied";"WK004701";"891";"169";"98";"2";".";".";"85";"15";".";".";"0"
"Borgercompagnie (gedeeltelijk)";"BU00470100";"179";"212";"98";"2";".";".";"89";"11";".";".";"0"
"Ommelanderwijk";"BU00470101";"454";"144";"97";"3";".";".";"81";"19";".";".";"0"
"Zuidwending";"BU00470102";"172";"182";"100";"0";".";".";"88";"12";".";".";"0"
"Verspreide huizen";"BU00470109";"86";"210";"100";"0";".";".";"88";"12";".";".";"0"
"Wijk 02 Wildervank";"WK004702";"2397";"172";"89";"11";".";".";"71";"29";".";".";"0"
"Wildervank";"BU00470200";"1343";"149";"84";"16";".";".";"60";"40";".";".";"0"
"Boven-Wildervank";"BU00470201";"533";"151";"100";"0";".";".";"86";"14";".";".";"0"
"Bareveld";"BU00470202";"147";"121";"100";"0";".";".";"48";"52";".";".";"0"
"Wildervanksterdallen";"BU00470203";"36";".";"69";"31";".";".";"69";"31";".";".";"0"
"Verspreide huizen";"BU00470209";"338";"337";"92";"8";".";".";"97";"3";".";".";"0"
"Vlagtwedde";"GM0048";"7436";"172";"84";"16";".";".";"64";"35";".";".";"1"
"Wijk 00 Sellingen";"WK004800";"877";"192";"94";"6";".";".";"78";"22";".";".";"0"
"Sellingen";"BU00480000";"501";"172";"91";"9";".";".";"69";"31";".";".";"0"
"Laude";"BU00480001";"18";".";".";".";".";".";".";".";".";".";"."
"Jipsinghuizen en Plaggenborg";"BU00480004";"59";"220";"98";"2";".";".";"85";"15";".";".";"0"
"Leemdobben en Lammerweg";"BU00480006";"55";"227";"100";"0";".";".";"93";"7";".";".";"0"
"Verspr.h. ten oosten van Ruiten A-kanaal";"BU00480008";"86";"236";"98";"2";".";".";"90";"10";".";".";"0"
"Verspreide huizen Sellingen";"BU00480009";"158";"242";"97";"3";".";".";"89";"11";".";".";"1"
"Wijk 01 Vlagtwedde";"WK004801";"1317";"178";"84";"16";".";".";"57";"38";".";".";"5"
"Vlagtwedde";"BU00480100";"1031";"161";"79";"21";".";".";"48";"45";".";".";"6"
"Wollinghuizen";"BU00480101";"19";".";".";".";".";".";".";".";".";".";"."
"Vlagtwedder-Veldhuis";"BU00480102";"41";".";"95";"5";".";".";"93";"7";".";".";"0"
"Veele";"BU00480103";"82";"243";"99";"1";".";".";"89";"11";".";".";"0"
"Ellersinghuizen";"BU00480104";"37";".";"100";"0";".";".";"89";"11";".";".";"0"
"Verspreide huizen Vlagtwedde";"BU00480109";"107";"230";"100";"0";".";".";"88";"12";".";".";"0"
"Wijk 02 Bourtange";"WK004802";"485";"195";"94";"6";".";".";"78";"22";".";".";"0"
"Bourtange";"BU00480200";"217";"166";"93";"7";".";".";"70";"30";".";".";"0"
"Pallert";"BU00480201";"30";".";"100";"0";".";".";"87";"13";".";".";"0"
"Weite";"BU00480202";"20";".";"80";"20";".";".";"60";"40";".";".";"0"
"Stakenborg";"BU00480204";"96";"234";"96";"4";".";".";"86";"14";".";".";"0"
"Verspreide huizen Hebrecht";"BU00480207";"34";".";"94";"6";".";".";"91";"9";".";".";"0"
"Verspreide huizen Bourtange";"BU00480208";"35";".";"94";"6";".";".";"91";"9";".";".";"0"
"Verspr.h. ten noorden van Vlagtwedde";"BU00480209";"53";".";"100";"0";".";".";"79";"21";".";".";"0"
